filepath,sessid,filename,time
,01,2010.11.15.10.05.12_P1_FaceFar2_06068_BW1024.avi,2115
,01,2010.11.15.10.05.12_P2_FaceFar2_06060_BW1024.avi,2127
,02,2010.11.15.10.33.56_P1_FaceFar2_06068_BW1024.avi,3604
,02,2010.11.15.10.33.56_P2_FaceFar2_06060_BW1024.avi,3513
,03,2010.11.15.11.09.07_P1_FaceFar2_06068_BW1024.avi,1529
,03,2010.11.15.11.09.07_P2_FaceFar2_06060_BW1024.avi,1527
,04,2010.11.15.12.45.32_P1_FaceFar2_06068_BW1024.avi,3230
,04,2010.11.15.12.45.32_P2_FaceFar2_06060_BW1024.avi,3267
,05,2010.11.15.13.07.01_P1_FaceFar2_06068_BW1024.avi,3330
,05,2010.11.15.13.07.01_P2_FaceFar2_06060_BW1024.avi,3686
,06,2010.11.15.13.37.51_P1_FaceFar2_06068_BW1024.avi,3356
,06,2010.11.15.13.37.51_P2_FaceFar2_06060_BW1024.avi,3428
,07,2010.11.15.17.07.54_P1_FaceFar2_06068_BW1024.avi,3254
,07,2010.11.15.17.07.54_P2_FaceFar2_06060_BW1024.avi,3261
,08,2010.11.15.17.34.27_P1_FaceFar2_06068_BW1024.avi,3314
,08,2010.11.15.17.34.27_P2_FaceFar2_06060_BW1024.avi,3303
,09,2010.11.15.18.07.54_P1_FaceFar2_06068_BW1024.avi,3311
,09,2010.11.15.18.07.54_P2_FaceFar2_06060_BW1024.avi,3386
,10,2010.11.15.19.07.40_P1_FaceFar2_06068_BW1024.avi,3379
,10,2010.11.15.19.07.40_P2_FaceFar2_06060_BW1024.avi,3392
/media/DataDrive/MimicryDB/sessid_11/Sessions/11/2010.11.16.10.17.22_P1_FaceFar2_06068_BW1024.avi,11,2010.11.16.10.17.22_P1_FaceFar2_06068_BW1024.avi,4294
/media/DataDrive/MimicryDB/sessid_11/Sessions/11/2010.11.16.10.17.22_P2_FaceFar2_06060_BW1024.avi,11,2010.11.16.10.17.22_P2_FaceFar2_06060_BW1024.avi,4238
/media/DataDrive/MimicryDB/sessid_12/Sessions/12/2010.11.16.11.06.01_P1_FaceFar2_06068_BW1024.avi,12,2010.11.16.11.06.01_P1_FaceFar2_06068_BW1024.avi,2732
/media/DataDrive/MimicryDB/sessid_12/Sessions/12/2010.11.16.11.06.01_P2_FaceFar2_06060_BW1024.avi,12,2010.11.16.11.06.01_P2_FaceFar2_06060_BW1024.avi,2761
/media/DataDrive/MimicryDB/sessid_13/Sessions/13/2010.11.16.12.30.53_P1_FaceFar2_06068_BW1024.avi,13,2010.11.16.12.30.53_P1_FaceFar2_06068_BW1024.avi,4270
/media/DataDrive/MimicryDB/sessid_13/Sessions/13/2010.11.16.12.30.53_P2_FaceFar2_06060_BW1024.avi,13,2010.11.16.12.30.53_P2_FaceFar2_06060_BW1024.avi,4236
/media/DataDrive/MimicryDB/sessid_14/Sessions/14/2010.11.16.13.16.01_P1_FaceFar2_06068_BW1024.avi,14,2010.11.16.13.16.01_P1_FaceFar2_06068_BW1024.avi,3375
/media/DataDrive/MimicryDB/sessid_14/Sessions/14/2010.11.16.13.16.01_P2_FaceFar2_06060_BW1024.avi,14,2010.11.16.13.16.01_P2_FaceFar2_06060_BW1024.avi,3466
/media/DataDrive/MimicryDB/sessid_15/Sessions/15/2010.11.16.17.15.32_P1_FaceFar2_06068_BW1024.avi,15,2010.11.16.17.15.32_P1_FaceFar2_06068_BW1024.avi,5128
/media/DataDrive/MimicryDB/sessid_15/Sessions/15/2010.11.16.17.15.32_P2_FaceFar2_06060_BW1024.avi,15,2010.11.16.17.15.32_P2_FaceFar2_06060_BW1024.avi,5003
/media/DataDrive/MimicryDB/sessid_16/Sessions/16/2010.11.16.18.10.12_P1_FaceFar2_06068_BW1024.avi,16,2010.11.16.18.10.12_P1_FaceFar2_06068_BW1024.avi,5248
/media/DataDrive/MimicryDB/sessid_16/Sessions/16/2010.11.16.18.10.12_P2_FaceFar2_06060_BW1024.avi,16,2010.11.16.18.10.12_P2_FaceFar2_06060_BW1024.avi,5217
/media/DataDrive/MimicryDB/sessid_17/Sessions/17/2010.11.17.10.13.20_P1_FaceFar2_06068_BW1024.avi,17,2010.11.17.10.13.20_P1_FaceFar2_06068_BW1024.avi,3038
/media/DataDrive/MimicryDB/sessid_17/Sessions/17/2010.11.17.10.13.20_P2_FaceFar2_06060_BW1024.avi,17,2010.11.17.10.13.20_P2_FaceFar2_06060_BW1024.avi,3045
/media/DataDrive/MimicryDB/sessid_18/Sessions/18/2010.11.17.11.00.58_P1_FaceFar2_06068_BW1024.avi,18,2010.11.17.11.00.58_P1_FaceFar2_06068_BW1024.avi,2790
/media/DataDrive/MimicryDB/sessid_18/Sessions/18/2010.11.17.11.00.58_P2_FaceFar2_06060_BW1024.avi,18,2010.11.17.11.00.58_P2_FaceFar2_06060_BW1024.avi,2749
/media/DataDrive/MimicryDB/sessid_19/Sessions/19/2010.11.17.12.40.27_P1_FaceFar2_06068_BW1024.avi,19,2010.11.17.12.40.27_P1_FaceFar2_06068_BW1024.avi,4448
/media/DataDrive/MimicryDB/sessid_19/Sessions/19/2010.11.17.12.40.27_P2_FaceFar2_06060_BW1024.avi,19,2010.11.17.12.40.27_P2_FaceFar2_06060_BW1024.avi,4493
/media/DataDrive/MimicryDB/sessid_20/Sessions/20/2010.11.17.13.00.37_P1_FaceFar2_06068_BW1024.avi,20,2010.11.17.13.00.37_P1_FaceFar2_06068_BW1024.avi,4118
/media/DataDrive/MimicryDB/sessid_20/Sessions/20/2010.11.17.13.00.37_P2_FaceFar2_06060_BW1024.avi,20,2010.11.17.13.00.37_P2_FaceFar2_06060_BW1024.avi,4113
/media/DataDrive/MimicryDB/sessid_21/Sessions/21/2010.11.17.13.30.10_P1_FaceFar2_06068_BW1024.avi,21,2010.11.17.13.30.10_P1_FaceFar2_06068_BW1024.avi,3035
